pid,cid,year,Sample Membership,Current Wave Status,Weighting Factor,Amt of education or training,Marital Status,Length of time within firm,Occupational Position,Occupational Change,College Degree,Employment Status,Working in Trained,Reasons for occupational change,Required Training for Job,Imputed Flag for LabGross,Gross Labor Income,Labor force Status,Working Experience Full Time Employment,Vocational Degree Received,Apprenticeship,ISCED class,ISCO code,hid,gender
901,94,2000,1,10,5682.52,10.5,3,NA,522,2,-2,1,1,-2,5,0,1790,11,28.16699981689453,1,-2,3,-2,94,2
901,94,2000,1,10,5682.52,10.5,3,NA,522,-2,-2,1,1,-2,5,0,1790,11,28.16699981689453,1,-2,3,-2,94,2
901,94,2019,1,10,7498.77,10.5,3,-2,13,-2,-2,5,-2,-2,-2,-2,-2,2,42.33300018310547,1,-2,3,NA,94,2
901,94,2019,1,10,7498.77,10.5,3,-2,13,1,-2,5,-2,-2,-2,-2,-2,2,42.33300018310547,1,-2,3,NA,94,2
901,94,2002,1,10,7335.05,10.5,3,0.75,521,4,-2,1,1,4,5,0,1718,11,30.25,1,-2,3,-2,94,2
901,94,2002,1,10,7335.05,10.5,3,0.75,521,4,-2,1,1,4,5,0,1718,11,30.25,1,-2,3,-2,94,2
901,94,2018,3,10,9316.62,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,94,2
901,94,2010,1,10,9550.13,10.5,3,9.083000183105469,522,-2,-2,1,1,-2,5,0,1800,11,38.33300018310547,1,-2,3,-2,94,2
901,94,2010,1,10,9550.13,10.5,3,9.083000183105469,522,2,-2,1,1,-2,5,0,1800,11,38.33300018310547,1,-2,3,-2,94,2
901,94,2014,1,10,7222.7,10.5,3,12.833000183105469,522,2,-2,1,1,-2,5,0,1800,11,42.08300018310547,1,-2,3,-2,94,2
901,94,2014,1,10,7222.7,10.5,3,12.833000183105469,522,-2,-2,1,1,-2,5,0,1800,11,42.08300018310547,1,-2,3,-2,94,2
901,94,2012,1,10,6510.99,10.5,3,10.833000183105469,522,2,-2,1,1,-2,5,0,1792,11,40.08300018310547,1,-2,3,-2,94,2
