"","pid","year","occ_change","Length.of.time.within.firm"
"1",901,2002,NA,NA
"2",901,2010,"No",9.08300018310547
"3",901,2014,"No",12.8330001831055
"4",901,2012,"Yes",10.8330001831055
"5",901,2009,"Yes",8.08300018310547
"6",901,2003,"Yes",1.83299994468689
"7",901,2005,"No",3.83299994468689
"8",901,2007,"No",6.08300018310547
"9",901,2013,"No",11.75
"10",901,2008,"Yes",7
"11",901,2004,"Yes",2.83299994468689
"12",901,2011,"No",10
"13",901,2006,"Yes",5
"14",901,2001,"No",28.9169998168945
"15",2301,2002,"Yes",NA
"16",2301,2010,"No",31.9169998168945
"17",2301,2012,"No",33.9169998168945
"18",2301,2009,"Yes",30.9169998168945
"19",2301,2003,"Yes",24.8330001831055
"20",2301,2005,"No",26.9169998168945
"21",2301,2007,"No",28.9169998168945
"22",2301,2008,"No",29.9169998168945
"23",2301,2004,"Yes",25.8330001831055
"24",2301,2011,"No",32.9169998168945
"25",2301,2006,"Yes",27.9169998168945
"26",2301,2001,"Yes",22.8330001831055
"27",5202,2019,"Yes",NA
"28",5202,2002,"Yes",0.5
"29",5202,2010,"No",8.58300018310547
"30",5202,2014,"No",12.5830001831055
"31",5202,2012,"Yes",10.5830001831055
"32",5202,2009,"Yes",7.58300018310547
"33",5202,2015,"No",13.5830001831055
"34",5202,2017,"No",15.5830001831055
"35",5202,2003,"Yes",1.5
"36",5202,2005,"No",3.58299994468689
"37",5202,2007,"No",5.58300018310547
"38",5202,2020,"No",18.5830001831055
"39",5202,2013,"Yes",11.5830001831055
"40",5202,2016,"No",14.6669998168945
"41",5202,2008,"Yes",6.58300018310547
"42",5202,2004,"Yes",2.5
"43",5202,2011,"No",9.58300018310547
"44",5202,2006,"Yes",4.58300018310547
"45",5202,2001,"Yes",0.416999995708466
"46",9401,2002,"No",NA
"47",9401,2010,"Yes",5.08300018310547
"48",9401,2009,"Yes",4.08300018310547
"49",9401,2003,"No",21.1669998168945
"50",9401,2005,"Yes",0.166999995708466
"51",9401,2007,"No",2.08299994468689
"52",9401,2008,"No",3.08299994468689
"53",9401,2004,"No",22.1669998168945
"54",9401,2011,"Yes",6.08300018310547
"55",9401,2006,"Yes",1.08299994468689
"56",9401,2001,"No",19
"57",12501,2002,"Yes",NA
"58",12501,2010,"No",21.1669998168945
"59",12501,2014,"No",25.5830001831055
"60",12501,2012,"Yes",23.1669998168945
"61",12501,2009,"Yes",20.1669998168945
"62",12501,2015,"No",26.8330001831055
"63",12501,2003,"Yes",14.0830001831055
"64",12501,2005,"No",16.3330001831055
"65",12501,2007,"No",18.25
"66",12501,2013,"No",24.1669998168945
"67",12501,2016,"No",27.5
"68",12501,2008,"Yes",19.25
"69",12501,2004,"Yes",15.1669998168945
"70",12501,2011,"No",22.1669998168945
"71",12501,2006,"Yes",17.25
"72",12501,2001,"Yes",12.0830001831055
"73",14803,2019,"No",NA
"74",14803,2002,"Yes",14
"75",14803,2010,"No",22.0830001831055
"76",14803,2014,"No",26.1669998168945
"77",14803,2012,"Yes",24.0830001831055
"78",14803,2009,"Yes",21.0830001831055
"79",14803,2015,"No",27.0830001831055
"80",14803,2017,"No",29.0830001831055
"81",14803,2003,"Yes",15
"82",14803,2005,"No",17.1669998168945
